vehicle_id,trip_id,route_id,latitude,longitude,bearing,speed,current_status,timestamp
2070,N/A,N/A,43.616241455078125,3.8196988105773926,337.0,0.0,1,1741783651
2071,1582609094-6,7-3,43.61957550048828,3.8321468830108643,214.0,8.0,1,1741783651
2072,1582398297-6,7-1,43.60771942138672,3.879429817199707,164.0,12.0,2,1741783651
2073,1582608825-6,7-3,43.60191345214844,3.900500535964966,245.0,9.0,2,1741783651
2075,1582608821-6,7-3,43.58218765258789,3.9266717433929443,122.0,14.0,2,1741783651
2077,N/A,N/A,43.61677169799805,3.8736979961395264,133.0,0.0,2,1741783651
2081,N/A,N/A,43.61056137084961,3.84940505027771,294.0,0.0,1,1741783651
2082,1582608840-6,7-3,43.55803298950195,3.963564872741699,323.0,0.0,1,1741783471
2083,1582608826-6,7-3,43.605037689208984,3.882783889770508,322.0,16.0,2,1741783651
2085,1582609126-6,7-3,43.61552047729492,3.8180220127105713,67.0,22.0,2,1741783651
2086,1582608860-6,7-3,43.603057861328125,3.8947298526763916,190.0,22.0,2,1741783651
2087,1582608861-6,7-3,43.57075119018555,3.9053475856781006,53.0,0.0,1,1741783621
2089,1582608828-6,7-3,43.6064453125,3.876537561416626,114.0,0.0,1,1741783651
2090,1582398224-6,7-1,43.63823699951172,3.8255679607391357,244.0,37.0,2,1741783651
2091,1582398190-6,7-1,43.60569381713867,3.881626605987549,235.0,11.0,2,1741783651
2092,1582398149-6,7-1,43.63249588012695,3.8227200508117676,358.0,27.0,2,1741783651
2093,1582400430-6,7-2,43.629730224609375,3.900148391723633,255.0,29.0,2,1741783651
2095,N/A,N/A,43.58260726928711,3.8608458042144775,334.0,0.0,1,1741783597
2096,1582400408-6,7-2,43.63853454589844,3.9249355792999268,313.0,0.0,1,1741783651
2097,1582400394-6,7-2,43.574806213378906,3.83091402053833,308.0,26.0,2,1741783651
2098,1582609109-6,7-3,43.61788558959961,3.8393783569335938,148.0,32.0,1,1741783651
2099,1582608833-6,7-3,43.57832336425781,3.934626340866089,303.0,0.0,1,1741783651
